"","Parameter","Estimate","p","sig","VIF","CI","Sample"
"1","intrcpt",-36.4605819874878,0.900244171086306,"",NA,"[-606.54, 533.62]","AM404unconditioned"
"2","pubyear",0.0184155474948268,0.898820587918191,"",3.92961057416694,"[-0.27, 0.30]","AM404unconditioned"
"3","hed",0.292199967453484,0.734785991540177,"",2.92143458388595,"[-1.40, 1.98]","AM404unconditioned"
"4","hed2",0.77293515559087,0.415589402181132,"",2.96330405939426,"[-1.09, 2.63]","AM404unconditioned"
"5","diseaseYes",-2.17704739969635,0.184900860731027,"",2.34916592010546,"[-5.40, 1.04]","AM404unconditioned"
"6","anxiety_testASR",-0.716052905955915,0.341950519762611,"",1.22447316764124,"[-2.19, 0.76]","AM404unconditioned"
"7","anxiety_testdefense",-0.1952175650899,0.89331578620516,"",1.10913120679514,"[-3.05, 2.66]","AM404unconditioned"
"8","anxiety_testRCLB",1.28924552456996,0.353427718278703,"",3.49338422656555,"[-1.43, 4.01]","AM404unconditioned"
"9","speciesrats",0.202461612287917,0.770277960188037,"",1.44038729586554,"[-1.16, 1.56]","AM404unconditioned"
"10","Tau2b",0.549540741757088,NA,"",NA,"[0.00, 4.31]","AM404unconditioned"
"11","Tau2w",0.816041620841093,NA,"*",NA,"[0.36, 1.76]","AM404unconditioned"
