"","Parameter","Estimate","p","sig","VIF","CI","Sample"
"1","intrcpt",267.943696942175,0.519873012451518,"",NA,"[-548.10, 1083.99]","PF3485unconditioned"
"2","year",-0.137798254055262,0.503432051752063,"",1.00841708509489,"[-0.54, 0.27]","PF3485unconditioned"
"3","dose",-0.86186341087777,0.613950048951513,"",1547.85383969926,"[-4.21, 2.49]","PF3485unconditioned"
"4","dose2",-0.0175679776437346,0.690906990840127,"",2009.74422963511,"[-0.10, 0.07]","PF3485unconditioned"
"5","hed",-0.486482604249089,0.794127908153577,"",18.1835905028877,"[-4.14, 3.17]","PF3485unconditioned"
"6","hed2",-1.2440119907916,0.704574229783259,"",88.7833599817391,"[-7.67, 5.19]","PF3485unconditioned"
"7","timingdelay",0.141253881086977,0.750985618189787,"",1.24719796962461,"[-0.73, 1.01]","PF3485unconditioned"
"8","frequencyMD",1.39559444174059,0.000853189941364636,"*",1.30016249242176,"[0.58, 2.22]","PF3485unconditioned"
"9","Tau2b",2.12582050691213,NA,"*",NA,"[0.07, 44.97]","PF3485unconditioned"
"10","Tau2w",0.273680886221726,NA,"*",NA,"[0.07, 0.76]","PF3485unconditioned"
