"","Parameter","Estimate","se","n_eff","Rhat","CI","p"
"1","Intercept",138.819276317056,5.56074246106936,1821.95015750432,1.00234916265282,"[-301.57, 642.64]",""
"2","year",-0.0689022739889697,0.00275933935847687,1821.3392107815,1.00235963302893,"[-0.32, 0.15]",""
"3","dose",-0.00498856661325781,0.00251501000021802,2815.77169920943,1.00086680177571,"[-0.31, 0.27]",""
"4","dose2",-0.000184904884649087,6.30306270466643e-05,2373.75981849536,1.0014196684725,"[-0.01, 0.01]",""
"5","hed",-0.326640101958867,0.0165365435894792,2291.81591218517,1.00072598110258,"[-2.15, 1.08]",""
"6","hed2",-0.454923940436864,0.0204510705968779,1997.84387440126,1.00337747741563,"[-2.75, 1.08]",""
"7","timingdelay",0.134436500472713,0.00639913348132658,2311.92788783285,1.00029679473563,"[-0.41, 0.86]",""
"8","frequencyMD",0.950849864669801,0.0149159022872214,1040.24953950263,1.00342869960001,"[-0.01, 1.82]",""
"9","tau2_w",0.353812055813624,0.00767401693317529,806.259767948183,1.00670916741539,"[0.07, 0.92]","*"
"10","tau2_b",1.73475605507362,0.0625376107944512,1276.69295379374,1.00262785622278,"[0.08, 7.96]","*"
