"","Parameter","Estimate","p","sig","VIF","CI","Sample"
"1","intrcpt",57.3512448440025,0.611623082277076,"",NA,"[-164.03, 278.73]","URB597unconditioned"
"2","pubyear",-0.0278857173360408,0.619103696577444,"",2.27960618894447,"[-0.14, 0.08]","URB597unconditioned"
"3","hed",-1.91121520814756,0.441365069531794,"",8.5412347777398,"[-6.78, 2.95]","URB597unconditioned"
"4","hed2",2.73246742931879,0.450076599551603,"",8.48195640446557,"[-4.36, 9.82]","URB597unconditioned"
"5","sexFemale",-0.883374094803751,0.179299856220742,"",1.38629231446563,"[-2.17, 0.41]","URB597unconditioned"
"6","sexNI",0.534147450110079,0.539202511319547,"",1.06357678668204,"[-1.17, 2.24]","URB597unconditioned"
"7","timingdelay",0.926132220435394,0.332165445167858,"",1.26998244504844,"[-0.95, 2.80]","URB597unconditioned"
"8","diseaseYes",0.889275275999869,0.0363589210649915,"*",1.3523944028164,"[0.06, 1.72]","URB597unconditioned"
"9","anxiety_testdefense",0.385214597911302,0.678977347513956,"",1.28503156537748,"[-1.44, 2.21]","URB597unconditioned"
"10","anxiety_testDoxapram",-1.28312716285416,0.297615853827069,"",1.20216835931257,"[-3.70, 1.13]","URB597unconditioned"
"11","anxiety_testNSF",-0.735943533202918,0.240171584775323,"",1.34878226105653,"[-1.96, 0.49]","URB597unconditioned"
"12","anxiety_testSIT",-3.72838725918834,1.57911264352411e-08,"*",1.40965602036941,"[-5.02, -2.44]","URB597unconditioned"
"13","speciesmice",-0.428859320112084,0.345110784164902,"",1.59762206265079,"[-1.32, 0.46]","URB597unconditioned"
"14","frequencyMD",-0.345099316636799,0.31351465473882,"",1.48811532094311,"[-1.02, 0.33]","URB597unconditioned"
"15","Tau2b",1.04798992047224,NA,"*",NA,"[0.50, 2.06]","URB597unconditioned"
"16","Tau2w",0.166847906513871,NA,"*",NA,"[0.03, 0.41]","URB597unconditioned"
