"","Parameter","Estimate","p","sig","VIF","CI","Sample"
"1","intrcpt",0.60947678787791,0.0337540113776412,"*",NA,"[0.05, 1.17]","PF3485unconditioned"
"2","anxiety_testNSF",0.079073795568015,0.839424523470502,"",1.41116508500079,"[-0.69, 0.84]","PF3485unconditioned"
"3","anxiety_testRCLB",0.520852098819748,0.637508635152945,"",3.19478166496532,"[-1.65, 2.69]","PF3485unconditioned"
"4","hed",-0.374254837012668,0.508696297680646,"",2.53273315002099,"[-1.48, 0.74]","PF3485unconditioned"
"5","hed2",0.096448472878252,0.900517540743899,"",2.42404639956086,"[-1.42, 1.61]","PF3485unconditioned"
"6","anxiety_testNSF:hed",1.31483189179079,0.498308854388571,"",9.22227337758422,"[-2.49, 5.12]","PF3485unconditioned"
"7","anxiety_testRCLB:hed",1.64828415265043,0.216612783574585,"",1.99917140381777,"[-0.97, 4.26]","PF3485unconditioned"
"8","anxiety_testNSF:hed2",-2.23092219461303,0.263373867776271,"",10.5935373744567,"[-6.14, 1.68]","PF3485unconditioned"
"9","anxiety_testRCLB:hed2",-1.59162210507145,0.851853183656635,"",3.95795697552664,"[-18.30, 15.11]","PF3485unconditioned"
"10","Tau2b",0.223680232574849,NA,"",NA,"[0.00, 2.38]","PF3485unconditioned"
"11","Tau2w",0.199213227012198,NA,"*",NA,"[0.00, 0.72]","PF3485unconditioned"
